001	DEPOSITADO	0	Acompanhar o pedido em questão na RPI.	Depositado o PEDIDO DE REGISTRO DA MARCA em questão.	FALSO	FALSO
IPAS033	Pedido de registro considerado inexistente	0	Analisar despacho.	Considerado inexistente o pedido de registro de marca em vista da falta de resposta à exigência de pagamento, nos termos do artigo 157 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS047	Pedido de registro considerado inexistente	0	Analisar despacho.	Considerado inexistente o pedido de registro de marca em vista da falta de pagamento da retribuição devida nos termos do inciso III do artigo 155 e do artigo 157 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS089	EXIGÊNCIA DE PAGAMENTO EM PETIÇÃO	5	Analisar despacho	Exigência de Conformidade, relativa ao pagamento da Petição, elaborada nos termos dos artigos 220 e 224 da Lei da Propriedade Industrial (LPI, lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS091	Pedido de registro considerado inexistenteL	0	Analisar despacho.	Considerado inexistente o pedido de registro de marca em vista da falta de cumprimento de exigência de pagamento, nos termos do artigo 157 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS106	ARQUIVAMENTO	0	Analisar despacho.	Arquivado definitivamente o pedido de registro de marca em vista da ausência de procuração, encerrando-se a instância administrativa nos termos do parágrafo 2º do artigo 216 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS112	Pedido de registro considerado inexistente	0	Analisar despacho.	Considerado inexistente o pedido de registro de marca em vista da falta de resposta a exigência de pagamento, nos termos do artigo 157 da Lei da Propriedade Industrial (LPI, lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS113	Pedido de registro considerado inexistente	0	Analisar despacho.	Considerado inexistente o pedido de registro de marca em vista da falta de cumprimento de exigência formal, nos termos do artigo 157 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS135	REPUBLICADO PEDIDO	60	Acompanhar pedido.	Republicado o pedido de registro de marca para a apresentação de oposição, nos termos do artigo 158 da Lei da Propriedade Industrial (LPI, lei n.º 9.279, de 14 de maio de 1996), em vista da perda da prioridade indicada abaixo.	FALSO	FALSO
IPAS136	EXIGÊNCIA	60	Cumprir exigência no prazo legal.	Como etapa do exame de mérito do pedido de registro de marca no presente processo – nos termos do artigo 159 da Lei da Propriedade Industrial (LPI, lei n.º 9.279, de 14 de maio de 1996) – formula-se exigência de mérito relativa às questões listadas a seguir:	FALSO	FALSO
IPAS139	ARQUIVAMENTO	0	Analisar despacho.	Arquivado definitivamente o pedido de registro de marca, em vista do não cumprimento da exigência formulada, encerrando-se a instância administrativa nos termos do parágrafo 1º do artigo 159 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS142	SOBRESTAMENTO DO PEDIDO	0	Analisar despacho.	Sobrestado o exame de mérito do pedido de registro de marca até a decisão definitiva do(s) pedido(s), registro(s) ou petição(ões) anterior(es) listado(s) a seguir:	FALSO	FALSO
IPAS157	ARQUIVAMENTO	0	Analisar despacho.	Arquivado definitivamente o pedido de registro de marca em vista da ausência de pagamento da retribuição relativa à expedição de certificado de registro e à proteção do primeiro decênio de sua vigência, nos termos do parágrafo único do artigo 162 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS158	CONCESSÃO REGISTRO	3650	Acompanhar registro no decênio.	Concedido o registro de marca em vista do pagamento tempestivo das retribuições relativas à expedição do certificado e ao primeiro decênio de vigência do registro, nos termos dos artigos 161 e 163 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS161	REGISTRO EXTINTO	0	Analisar despacho.	Extinto o registro de marca em vista da expiração do prazo de vigência, nos termos do inciso I do artigo 142 da Lei da Propriedade Industrial - LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS185	ARQUIVAMENTO PETIÇÃO	60	Analisar interposição de eventual recurso.	Arquivada a petição, em vista da ausência de procuração, nos termos do parágrafo 2º do artigo 216 da Lei da Propriedade Industrial - LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS192	EXIGÊNCIA DE CONFORMIDADE	60	Cumprir exigência no prazo legal.	Como etapa do exame da conformidade de petições e a fim de assegurar que sejam atendidas as formalidades previstas em lei, formula-se exigência de conformidade – nos termos do artigo 220 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996) – relativa às questões listadas a seguir:	FALSO	FALSO
IPAS227	SOBRESTAMENTO EM PETIÇÃO	0	Analisar despacho.	Sobrestado o exame de mérito da petição em referência até a decisão definitiva do(s) pedido(s), registro(s) ou petição(ões) anterior(es) listado(s) a seguir:	FALSO	FALSO
IPAS235	RECURSO NÃO PROVIDO. DECISÃO MANTIDA.	0	Analisar despacho.	Recurso não provido. Decisão mantida	FALSO	FALSO
IPAS236	NOTIFICAÇÃO NOVO IMPEDIMENTO	60	Apresentar contra-razões no prazo legal.	Notifica-se o prazo de 60 (sessenta) dias para manifestação sobre os novos impedimentos legais ao deferimento de pedido de registro de marca identificados durante a fase de instrução técnica do recurso – nos termos da orientação estabelecida por meio do parecer normativo n.º 2/2008, publicado na Revista da Propriedade Industrial (RPI) n.º 1971, de 14/10/2008.	FALSO	FALSO
IPAS237	RECURSO PROVIDO. DECISÃO REFORMADA.	0	Analisar despacho.	Recurso provido. Decisão reformada	FALSO	FALSO
IPAS238	RECURSO PROVIDO. DECISÃO REFORMADA PARCIALMENTE.	0	Analisar despacho.	Recurso provido. Decisão reformada parcialmente	FALSO	FALSO
IPAS267	EXIGÊNCIA DE MÉRITO	60	Cumprir exigência no prazo legal.	Como etapa do exame de mérito da petição em referência, formula-se exigência de mérito – nos termos do artigo 220 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996) – relativa às questões listadas a seguir:	FALSO	FALSO
IPAS270	DEFERIMENTO PETIÇÃO	60	Analisar interposição de eventual recurso.	Concluído o exame de mérito, defere-se a petição em referência.	FALSO	FALSO
IPAS271	INDEFERIMENTO PETIÇÃO	60	Interpor recurso.	Concluído o exame de mérito, indefere-se a petição em referência, com base nos seguintes motivos:	FALSO	FALSO
IPAS289	ARQUIVAMENTO	0	Analisar despacho.	Arquivado definitivamente o pedido de registro de marca de certificação em vista da ausência de documentação relativa às características do produto ou serviço objeto de certificação e às medidas de controle que seriam adotadas pelo titular, encerrando-se a instância administrativa nos termos dos incisos I e II e do parágrafo único do artigo 148 da Lei da Propriedade Industrial - LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS291	ARQUIVAMENTO	0	Analisar despacho.	Arquivado definitivamente o pedido de registro de marca coletiva por não ter sido apresentado regulamento de utilização da marca, encerrando-se a instância administrativa nos termos do parágrafo único do artigo 147 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS304	REGISTRO EXTINTO	0	Analisar despacho.	Extinto o registro de marca em vista de declaração de caducidade total, nos termos do inciso III do artigo 142 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS337	INDEFERIMENTO PETIÇÃO	60	Interpor recurso.	Concluído o exame de mérito, indefere-se a petição de caducidade em referência por falta de legítimo interesse do requerente, nos termos do artigo 143 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996):	FALSO	FALSO
IPAS338	PEDIDO DE CADUCIDADE	60	Apresentar manifestação sobre caducidade.	Em vista da apresentação da petição de caducidade referida acima, inicia-se o prazo de 60 (sessenta) dias para manifestação por parte do titular do registro de marca em referência, nos termos do parágrafo 2º do artigo 143 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS339	PEDIDO DE CADUCIDADE	60	Apresentar manifestação sobre caducidade.	Em vista da apresentação da petição de caducidade referida acima, inicia-se o prazo de 60 (sessenta) dias para manifestação por parte do titular do registro de marca em referência, nos termos do parágrafo 2º do artigo 143 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS349	Deferimento parcial de petição	60	Interpor recurso.	Concluído o exame de mérito, defere-se parcialmente a petição em referência nos termos descritos a seguir:	FALSO	FALSO
IPAS356	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - certidão de busca de marca por classe	FALSO	FALSO
IPAS358	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial	FALSO	FALSO
IPAS360	RECURSO INTERPOSTO	60	Analisar despacho.	Em vista de ter sido apresentado recurso contra a decisão no processo em referência, notifica-se o prazo de 60 (sessenta) dias, contados da publicação deste ato na Revista da Propriedade Industrial (RPI), para que os interessados apresentem manifestação, nos termos do artigo 213 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS362	EXIGÊNCIA ALTO RENOME	60	Cumprir exigência no prazo legal.	Como etapa do exame de mérito da petição em referência, formula-se exigência de mérito – nos termos do artigo 220 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996) – relativa às questões de alto renome listadas a seguir:	FALSO	FALSO
IPAS369	RECURSO PROVIDO. DECISÃO REFORMADA.	0	Analisar despacho.	Recurso provido. Decisão reformada	FALSO	FALSO
IPAS370	RECURSO PROVIDO. DECISÃO REFORMADA.	0	Analisar despacho.	Recurso provido. Decisão reformada	FALSO	FALSO
IPAS371	PROCESSO ADMINISTRATIVO DE NULIDADE	60	Apresentar manifestação sobre pan.	Notificação de processo administrativo de nulidade (PAN) instaurado mediante requerimento.	FALSO	FALSO
IPAS395	EXIGÊNCIA PAGAMENTO	5	Cumprir exigência no prazo legal.	Como etapa do exame formal preliminar do pedido de registro de marca – nos termos do artigo 157 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996) – formula-se exigência formal relativa às questões de pagamento da retribuição, relativa ao depósito, listadas a seguir:	FALSO	FALSO
IPAS400	PROCESSO ADMINISTRATIVO DE NULIDADE	60	Apresentar manifestação sobre pan.	Notificação de processo administrativo de nulidade (PAN) instaurado mediante requerimento.	FALSO	FALSO
IPAS402	ANULADO DESPACHO	0	Analisar despacho.	Anulados os despachos listados a seguir:	FALSO	FALSO
IPAS403	ANULADO DESPACHO	0	Analisar despacho.	Anulados o(s) despacho(s) listado(s) a seguir:	FALSO	FALSO
IPAS404	ARQUIVAMENTO EX-OFFICIO	60	Analisar interposição de eventual recurso.	Arquivado de ofício o pedido de registro de marca, em vista da não inclusão do mesmo no Termo de Cessão, onde constam marcas iguais ou semelhantes, relativas a produto ou serviço idêntico, semelhante ou afim, nos termos do artigo 135 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS409	CANCELADO EX-OFFICIO	60	Analisar despacho e informar Cliente.	Cancelado de ofício o registro de marca, em vista da não inclusão do mesmo no Termo de Cessão, onde constam marcas iguais ou semelhantes, relativas a produto ou serviço idêntico, semelhante ou afim, nos termos do artigo 135 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS414	REGISTRO EXTINTO	0	Analisar despacho.	Extinto o registro de marca em vista da inobservância do disposto no art. 217 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996), nos termos do inciso IV do artigo 142 da LPI.	FALSO	FALSO
IPAS416	PETIÇÃO PREJUDICADA	60	Analisar despacho.	Prejudicada a petição em referência em vista da falta de objeto.	FALSO	FALSO
IPAS421	REPUBLICADO PEDIDO	60	Acompanhar pedido.	Republicado o pedido de registro de marca para a apresentação de oposição, nos termos do artigo 158 da Lei da Propriedade Industrial (LPI, lei n.º 9.279, de 14 de maio de 1996), em vista dos motivos indicados a seguir.	FALSO	FALSO
IPAS423	PEDIDO DE OPOSIÇÃO	60	Apresentar Manifestação sobre oposição.	Em vista da apresentação da(s) oposição(ões) ao pedido de registro de marca, listada(s) a seguir, notifica-se prazo para manifestação do requerente, nos termos do parágrafo 1º do artigo 158 da Lei da Propriedade Industrial – LPI (Lei n.º 9.279, de 14 de maio de 1996).	FALSO	FALSO
IPAS428	PETIÇÃO NÃO CONHECIDA	60	Analisar despacho.	Não conhecida a petição em referência com base nos seguintes fundamentos legais:	FALSO	FALSO
IPAS434	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - certificado de registro de marca	FALSO	FALSO
IPAS437	PROCESSO ADMINISTRATIVO DE NULIDADE EX-OFFICIO	60	Apresentar manifestação sobre pan.	Notificação de processo administrativo de nulidade (PAN) instaurado de ofício.	FALSO	FALSO
IPAS462	SUB JUDICE	0	Analisar despacho.	Notificação de procedimento judicial	FALSO	FALSO
IPAS496	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - certificado de registro de marca (em prorrogação)	FALSO	FALSO
IPAS499	SOBRESTAMENTO EM 2ª. INSTÂNCIA	0	Analisar despacho.	Sobrestada a instrução técnica da petição em referência até a decisão definitiva dos pedidos, registros ou petições anteriores listados a seguir:	FALSO	FALSO
IPAS523	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - certidão de andamento	FALSO	FALSO
IPAS530	PAN PROVIDO. CANCELADO REGISTRO.	0	Informar Cliente.	Requerimento provido. Nulo o registro em PAN)	FALSO	FALSO
IPAS531	PAN PROVIDO	0	Informar Cliente.	Requerimento provido (em PAN)	FALSO	FALSO
IPAS532	PAN NÃO PROVIDO. MANTIDO REGISTRO.	0	Informar Cliente.	Requerimento não provido. Mantida a concessão (em PAN)	FALSO	FALSO
IPAS533	PAN NÃO PROVIDO	0	Informar Cliente.	Requerimento não provido (em PAN)	FALSO	FALSO
IPAS534	PAN PROVIDO PARCIALMENTE	0	Informar Cliente.	Requerimento provido parcialmente (em PAN)	FALSO	FALSO
IPAS535	RECURSO PROVIDO PARCIALMENTE. DECISÃO REFORMADA.	0	Analisar despacho.	Recurso provido parcialmente. Decisão reformada	FALSO	FALSO
IPAS536	RECURSO PROVIDO PARCIALMENTE. DECISÃO REFORMADA.	0	Analisar despacho.	Recurso provido parcialmente. Decisão reformada	FALSO	FALSO
IPAS537	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - certidão de busca de marca por titular	FALSO	FALSO
IPAS538	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - Parecer da Comissão de Classificação de Produtos e Serviços	FALSO	FALSO
IPAS566	Petição de retificação atendida	0	Analisar despacho	"Examinada a petição em referência; atendida a solicitação conforme texto abaixo:"	FALSO	FALSO
IPAS567	Petição de retificação não atendida	0	Analisar despacho	"Examinada a petição em referência; não atendida a solicitação conforme texto abaixo:"	FALSO	FALSO
IPAS572	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - Parecer da Comissão de Classificação de Elementos Figurativos	FALSO	FALSO
IPAS575	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - Cópia oficial de registro de marca	FALSO	FALSO
IPAS576	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - Cópia oficial de pedido de registro	FALSO	FALSO
IPAS577	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - Cópia reprográfica simples	FALSO	FALSO
IPAS578	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - Cópia reprográfica autenticada	FALSO	FALSO
IPAS579	NOTIFICAÇÃO DOCUMENTO OFICIAL	0	Apanhar documento.	Notificação de disponibilidade de documento oficial - Segunda via de certificado de registro	FALSO	FALSO
